Rank,Team,TeamID,Points,MatchesPlayes,SeasonWLD,HomeWLD,AwayWLD,SeasonGoalsFor,SeasonGoalsAgainst,GoalDifferential
1,Orlando Pride,9,60,26,18-2-6,10-0-3,8-2-3,46,20,26
2,Washington Spirit,14,56,26,18-6-2,10-2-1,8-4-1,51,28,23
3,NJ/NY Gotham FC,6,56,26,17-4-5,9-1-3,8-3-2,41,20,21
4,Kansas City Current,5,55,26,16-3-7,9-1-3,7-2-4,57,31,26
5,North Carolina Courage,7,39,26,12-11-3,9-1-3,3-10-0,34,28,6
6,Portland Thorns FC,10,34,26,10-12-4,7-5-1,3-7-3,37,35,2
7,Bay FC,2,34,26,11-14-1,5-8-0,6-6-1,31,41,-10
8,Chicago Red Stars,3,32,26,10-14-2,4-9-0,6-5-2,31,38,-7
9,Racing Louisville FC,11,28,26,7-12-7,6-5-2,1-7-5,33,39,-6
10,San Diego Wave FC,12,25,26,6-13-7,5-5-3,1-8-4,24,35,-11
11,Utah Royals FC,13,25,26,7-15-4,4-7-2,3-8-2,22,40,-18
12,Angel City FC,1,24,26,7-13-6,3-7-3,4-6-3,29,42,-13
13,Seattle Reign FC,8,23,26,6-15-5,4-5-4,2-10-1,27,44,-17
14,Houston Dash,4,20,26,5-16-5,2-7-4,3-9-1,20,42,-22
