MatchID,SeasonMatchNumber,TeamName,Date_of_Match,Opponent,HomeOrAway,Outcome,GoalsFor,GoalsAgainst,Assists,MatchLength,FirstHalfLength,SecondHalfLength,Formation,Starters,Substitutes,Captains,CurrentStanding,PossessionPercent,ShotsFor,ShotsAgainst,ShotsOnGoal,ShotsOnGoalAgainst,BlockedShots,TotalPasses,PassingAccuracyPercentage,CornersFor,CornersAgainst,CrossesFor,CrossesAgainst,DualsWon,Saves,Clearances,FoulsPerpetrated,FoulsAgainst,YellowCardsRecieved,RedCardsRecieved,OwnGoals,ThrowInsFor,GoalsInMatchFor,GoalsInMatchAgainst,PKTime,PKsPlayers,PKScored,DirectionFor,HeightFor,OnWWOutFor,TouchedFor,DirectionAgainst,HeightAgainst,OnWWOutAgainst,TouchedAgainst
ccdd,xxx,As seen on Team ID sheet,ddmmyyyy,TeamID,home or away,"W, L, or D",xx,xx,xx,mmmss,mmss,mmss,x-x-x-x...,"""pp, pp, pp...""","""iioohmmm, ...""","""pp, pp ...""",xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,"""ppaahmmmss, ppaahmmss""","""kkhmmmss""","""hmmmss, hmmmss""","""Spp or Kpp, ...""","""Y or N or R""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA"""
0304,025,Chicago Red Stars,13042024,01,home,L,00,01,00,09917,4904,5013,4-3-3,"""01, 23, 03, 12, 28, 15, 04, 05, 55, 34, 24""","""08151046, 07552069, 10052069, 33342075""","""01""",02,44,10,07,04,04,03,256,76,05,04,16,11,48,02,14,16,11,01,00,01,28,X,"""01103937""",X,X,X,X,X,X,X,X,X,X,X
0104,025,Angel City FC,13042024,03,away,W,01,00,00,09917,4904,5013,4-3-3,"""13, 03, 11, 06, 27, 08, 28, 07, 21, 02, 10""","""29072064, 33102064, 26082072, 99282089""","""11""",14,56,07,10,04,04,02,357,82,04,05,11,16,65,01,36,11,16,03,00,00,25,"""OG28103937""",X,X,X,X,X,X,X,X,X,X,X,X
1217,116,San Diego Wave,23082024,01,home,L,01,02,01,10447,5150,5257,4-2-3-1,"""01, 14, 12, 02, 06, 15, 05, 10, 25, 77, 18""","""23152079, 20252062, 20122062, 07182061, 13102046""","""02""",10,48,11,11,02,06,05,231,71,06,05,23,09,64,04,13,10,15,00,00,00,33,"""0277209630""","""011001948, 01102818""",X,X,X,X,X,X,X,X,X,X,X
0117,116,Angel City FC,23082024,12,away,W,02,01,01,10447,5150,5257,4-2-3-1,"""13, 03, 06, 08, 99, 11, 27, 10, 17, 21, 24""","""23102089, 07172079, 16212079, 02242065""","""11""",11,52,11,11,06,02,01,285,75,05,06,09,23,56,01,28,15,10,01,00,00,27,"""2108101948, 2108102818""","""13209630""",X,X,X,X,X,X,X,X,X,X,X
0519,129,Kansas City Current,07092024,13,home,W,01,00,01,09517,4509,5008,4-1-3-2,"""01, 18, 27, 15, 04, 10, 16, 99, 05, 08, 06""","""11182061, 09082072, 22162085, 07992085""","""10""",03,56,13,10,05,06,01,455,82,07,05,20,16,52,06,17,09,07,00,00,00,25,"""0610204627""",X,X,X,X,X,X,X,X,X,X,X,X
1319,129,Utah Royals FC,07092024,05,away,L,00,01,00,09517,4509,5008,4-3-3,"""01, 03, 08, 18, 16, 17, 29, 26, 24, 33, 04""","""12162063, 22172072, 21112088, 07042088""","""04, 07""",14,44,10,13,06,05,01,321,74,05,07,16,20,40,04,26,07,09,00,00,00,22,X,"""01204627""",X,X,X,X,X,X,X,X,X,X,X
1413,085,Washington Spirit,15062024,12,home,D,01,01,00,10226,5003,5223,4-2-3-1,"""01, 03, 05, 09, 14, 17, 26, 16, 07, 02, 11""","""33141045, 13112078""","""01""",03,47,17,07,12,05,04,274,77,07,06,17,22,40,02,22,10,09,02,00,00,21,"""07XX209520""","""01101914""",X,X,X,X,X,X,X,X,X,X,X
1212,085,San Diego Wave,15062024,14,away,D,01,01,01,10226,5003,5223,4-2-3-1,"""01, 06, 02, 04, 14, 24, 21, 10, 11, 77, 13""","""15102064, 05112078, 19772078, 20132086"" ","""02""",09,53,07,17,05,12,02,294,75,06,07,22,17,42,07,21,09,10,04,00,00,24,"""1177101914""","""01209520""",X,X,X,X,X,X,X,X,X,X,X
1424,166,Washington Spirit,13102024,11,home,W,04,01,01,09909,4703,5206,4-2-3-1,"""01, 14, 24, 09, 26, 17, 22, 19, 16, 08, 33""","""05242067, 02162067, 06262075, 13192075, 04082086""","""01""",02,51,19,10,06,05,03,414,86,05,04,18,11,28,04,10,07,08,01,00,00,18,"""08XX103509, 0819104259, 33XX205539, 04XX209615""","""01207118""","""205539""",S33,Y,R,L,ON,N,NA,NA,NA,NA
