MatchID,SeasonMatchNumber,TeamName,Date_of_Match,Opponent,HomeOrAway,Outcome,GoalsFor,GoalsAgainst,Assists,MatchLength,FirstHalfLength,SecondHalfLength,Formation,Starters,Substitutes,Captains,CurrentStanding,PossessionPercent,ShotsFor,ShotsAgainst,ShotsOnGoal,ShotsOnGoalAgainst,BlockedShots,TotalPasses,PassingAccuracyPercentage,CornersFor,CornersAgainst,CrossesFor,CrossesAgainst,DualsWon,Saves,Clearances,FoulsPerpetrated,FoulsAgainst,YellowCardsRecieved,RedCardsRecieved,OwnGoals,ThrowInsFor,GoalsInMatchFor,GoalsInMatchAgainst,PKTime,PKsPlayers,PKScored,DirectionFor,HeightFor,OnWWOutFor,TouchedFor,DirectionAgainst,HeightAgainst,OnWWOutAgainst,TouchedAgainst
ccdd,,As seen on Team ID sheet,ddmmyyyy,TeamID,home or away,"W, L, or D",xx,xx,xx,mmmss,mmss,mmss,x-x-x-x...,"""pp, pp, pp...""","""iioohmmm, ...""","""pp, pp ...""",xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,"""ppaahmmmss, ppaahmmss""","""kkhmmmss""","""hmmmss, hmmmss""","""Spp or Kpp, ...""","""Y or N or R""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA"""
0413,087,Houston Dash,15062024,01,Home,D,X,X,X,11322,5157,6131,3-5-2,"""01, 08, 07, 04, 03, 15, 11, 13, 30, 17, 28""","""09222060, 16282061, 31102079, 10172094""",1,11,42,09,14,04,11,03,204,65,02,06,10,17,62,05,21,14,17,02,XX,XX,17,XX,XX,205408,K01,N,NA,NA,NA,Y,L,L,On,Y
0112,087,Angel City FC,15062024,04,Away,D,X,X,X,11322,5157,6131,4-2-3-1,"""13, 03, 11, 27, 20, 28, 99, 10, 29, 21, 02""","""16102063, 06112063, 24992073, 09202073, 17292086""","""11, 03""",12,58,14,09,11,04,06,350,80,06,02,17,10,52,01,16,17,14,01,XX,XX,39,XX,XX,205408,S10,N,L,L,On,NA,NA,NA,NA,NA
1201,012,San Diego Wave,23032024,05,Home,L,01,02,X,10353,4605,5748,4-2-3-1,"""01, 06, 04, 02, 20, 15, 05, 07, 21, 10, 13""","""24072046, 11152064, 16202070, 23132082, 19102082""","""13, ??""",09,66,16,14,12,08,07,487,81,02,02,38,06,48,02,12,08,09,XX,XX,XX,43,"""10XX101658""","""01104322,  01207027""",207026,K01,Y,NA,NA,NA,N,C,L,On,N
0502,012,Kansas City Current,23032024,12,Away,W,02,01,X,10353,4605,5748,4-2-3-1,"""21, 05, 07, 24, 18, 10, 14, 77, 16, 06, 09""","""94162072, 25092072, 47062072, 12772088""",10,03,34,14,16,08,12,04,219,67,02,02,06,38,58,04,64,09,08,02,XX,XX,24,"""18XX104322, 10XX207026""","""2110658""",207026,S10,Y,C,L,On,NA,NA,NA,NA,NA
1120,137,Louisville Racing ,14092024,01,Home,W,02,01,01,10359,4959,5400,4-2-3-1,"""01, 11, 20, 03, 02, 08, 26, 16, 14, 07, 88""","""09082056, 13072090""",20,10,36,10,17,06,05,02,225,77,03,09,11,21,30,04,24,14,07,03,XX,XX,13,"""8808102543, 16XX206733""","""01101708""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0120,137,Angel City FC,14092024,11,Away,L,01,02,X,10359,4959,5400,4-2-3-1,"""13, 03, 11, 27, 16, 08, 04, 21, 99, 10, 02""","""23102070, 24082083, 06152083""",11,09,64,17,10,05,06,06,442,84,09,03,21,11,35,04,06,07,14,02,XX,XX,27,"""08XX101708""","""13102543, 13206733""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
1202,015,San Diego Wave,29032024,08,Home,W,01,X,01,10332,4604,5728,4-2-3-1,"""01, 14, 04, 02, 06, 15, 24, 11, 21, 10, 13""","""05112058, 20142058, 19152066, 25102089""",13,13,51,16,09,10,06,05,394,82,07,XX,20,13,30,02,12,09,08,XX,XX,XX,16,"""0513209753""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0803,015,Seattle Reign,29032024,12,Away,L,X,01,X,10332,4604,5728,4-2-3-1,"""01, 11, 21, 03, 17, 06, 33, 08, 91, 09, 12""","""04212058, 22172076, 23122076, 47082089, 45062089""",3,05,49,09,16,06,10,04,376,81,XX,07,13,20,38,04,24,08,09,01,XX,XX,20,XX,"""01209753""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0603,026,Gotham FC,15042024,05,Home,D,01,01,01,09810,4605,5205,4-3-3,"""38, 15, 77, 21, 03, 14, 17, 06, 28, 09, 18""","""02142046, 19172046, 10172059, 08282093""",15,07,60,14,10,07,05,02,370,79,08,04,23,10,45,03,21,11,08,01,XX,XX,36,"""0918205105""","""38101656""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
