MatchID,SeasonMatchNumber,TeamName,Date_of_Match,Opponent,HomeOrAway,Outcome,GoalsFor,GoalsAgainst,Assists,MatchLength,FirstHalfLength,SecondHalfLength,Formation,Starters,Substitutes,Captains,CurrentStanding,PossessionPercent,ShotsFor,ShotsAgainst,ShotsOnGoal,ShotsOnGoalAgainst,BlockedShots,TotalPasses,PassingAccuracyPercentage,CornersFor,CornersAgainst,CrossesFor,CrossesAgainst,DualsWon,Saves,Clearances,FoulsPerpetrated,FoulsAgainst,YellowCardsRecieved,RedCardsRecieved,OwnGoals,ThrowInsFor,GoalsInMatchFor,GoalsInMatchAgainst,PKTime,PKsPlayers,PKScored,DirectionFor,HeightFor,OnWWOutFor,TouchedFor,DirectionAgainst,HeightAgainst,OnWWOutAgainst,TouchedAgainst,
ccdd,xxx,As seen on Team ID sheet,ddmmyyyy,TeamID,home or away,"W, L, or D",xx,xx,xx,mmmss,mmss,mmss,x-x-x-x...,"""pp, pp, pp...""","""iioohmmm, ...""","""pp, pp ...""",xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,"""ppaahmmmss, ppaahmmss""","""kkhmmmss""","""hmmmss, hmmmss""","""Spp or Kpp, ...""","""Y or N or R""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA""",
0713,086,North Carolina Courage,15062024,09,Home,D,00,00,00,09827,4502,5325,4-3-3,"""01, 25, 03, 06, 32, 20, 02, 28, 09, 10, 22""","""19102095, 16232079, 08942078""","""10, 03""",08,49,14,21,06,11,01,290,77,02,06,15,20,53,05,16,12,14,02,00,00,26,X,X,X,X,X,X,X,X,X,X,X,X,X,
0913,086,Orlando Pride,15062024,07,Away,D,00,00,00,09827,4502,5325,4-4-2,"""01, 07, 11, 03, 14, 06, 02, 10, 23, 94, 05""","""31322073, 15202074, 11282074, 29222094"" ","""10""",02,51,21,14,11,06,06,321,81,06,02,20,15,35,05,15,14,12,01,00,00,16,X,X,X,X,X,X,X,X,X,X,X,X,X,
0413,087,Houston Dash,15062024,01,Home,D,00,00,00,11326,5156,6130,3-5-2,"""01, 03, 04, 07, 30, 15, 13, 17, 08, 11, 28""","""09112060, 16282061, 31152079, 10172094""","""01""",11,42,09,14,04,11,03,204,65,02,06,10,17,62,05,21,14,17,02,00,00,17,X,X,205408,K01,N,NA,NA,NA,NA,L,L,On,Y,
0112,087,Angel City FC,15062024,04,Away,D,00,00,00,11326,5156,6130,4-2-3-1,"""13, 20, 27, 11, 03, 99, 28, 10, 29, 21, 02""","""16112063, 06102063, 12202073, 24992073, 17292086""","""11, 02""",12,58,14,09,11,04,06,350,80,06,02,17,10,52,01,16,17,14,01,00,00,39,X,X,205408,S10,N,L,L,On,Y,NA,NA,NA,NA,
0119,127,Angel City FC,06092024,08,Home,L,02,03,02,11729,5747,5932,4-2-3-1,"""13, 16, 11, 06, 03, 08, 04, 07, 10, 21, 02""","""99102071, 24072071, 23042071, 27032082""","""11""",09,62,12,12,07,07,03,454,83,08,05,19,20,40,04,13,09,09,01,00,00,20,"""2102100741, 0216209830""","""13103057, 13105016, 13205802""",103057,K13,Y,NA,NA,NA,NA,R,L,On,N,
0819,127,Seattle Reign FC,06092024,01,Away,W,03,02,01,11729,5747,5932,4-2-2-2,"""01, 25, 21, 13, 11, 91, 05, 23, 09, 10, 34""","""06101017, 24092071, 0325071, 30912092, 46232092""","""11""",12,38,12,12,07,07,03,228,71,05,08,20,19,46,05,31,09,09,01,00,00,10,"""11XX103057, 91XX105016, 2334205802""","""01100741, 01209830""",103057,S11,Y,R,L,On,N,NA,NA,NA,NA,
1023,160,Portland Thorns FC,05102024,13,Home,L,01,02,00,10543,5112,5431,3-4-1-2,"""18, 20, 04, 05, 23, 21, 17, 02, 22, 13, 12""","""15232073, 11202077, 77222091""","""12""",07,45,13,21,04,09,05,296,76,03,04,13,08,55,07,12,09,08,00,00,00,18,"""13XX205225""","""18204647, 18204928"" ",205225,S13,Y,L,L,On,N,NA,NA,NA,NA,
1323,160,Utah Royals FC,05102024,10,Away,W,02,01,01,10543,5112,5431,4-2-3-1,"""01, 16, 18, 08, 12, 17, 26, 29, 09, 24, 33""","""20292058, 22092099""","""08""",14,55,21,13,09,04,06,411,83,04,03,08,13,30,03,17,08,09,00,00,00,26,"""3309204647, 29XX204928""","""01205225""",205225,K01,Y,NA,NA,NA,N,L,L,On,N,
0805,033,Seattle Reign FC,21042024,03,Home,L,01,02,01,10146,5111,5035,4-3-3,"""18, 17, 03, 04, 11, 10, 91, 33, 47, 08, 24""","""21172046, 05332046, 12912072, 23472077, 26242077""","""03""",12,56,14,12,08,08,05,376,78,07,05,33,11,57,06,14,10,09,02,00,00,32,"""2310207806""","""18100352, 18103043""",X,X,X,X,X,X,X,X,X,X,X,
0305,033,Chicago Red Stars,21042024,08,Away,W,02,01,02,10146,5111,5035,4-2-3-1,"""01, 32, 03, 12, 23, 05, 04, 55, 09, 24, 34""","""08552070, 33342070, 26082093""","""01""",04,44,12,14,08,08,00,270,69,05,07,11,33,50,01,28,09,10,03,00,00,21,"""3409100352, 0924103043""","""01207806""",X,X,X,X,X,X,X,X,X,X,X,
0724,164,North Carolina Courage,12102024,01,Home,D,01,01,01,10315,4806,5509,4-3-3,"""01, 13, 03, 07, 11, 06, 02, 10, 77, 34, 14""","""22772046, 09142063, 20022089, 16062089""","""10""",05,56,13,07,03,04,02,457,87,04,01,18,08,40,03,19,06,13,00,00,00,26,"""2010209916""","""01209616""",X,X,X,X,X,X,X,X,X,X,X,
0124,164,Angel City FC,12102024,07,Away,D,01,01,01,10315,4806,5509,4-2-3-1,"""13, 16, 06, 11, 27, 08, 04, 10, 21, 20, 24""","""15162046, 23272065, 02242066, 07102077, 44082086""","""11""",11,44,07,13,04,03,01,328,77,01,04,08,18,48,02,27,13,06,02,00,00,29,"""2304209616""","""13209916""",X,X,X,X,X,X,X,X,X,X,X,
0905,028,Orlando Pride,19042024,12,Home,W,01,00,00,10116,4800,5316,4-2-3-1,"""01, 32, 06, 03, 25, 02, 15, 28, 10, 20, 11""","""09202050, 22112061, 04282074, 30102074""","""10, 03""",05,46,21,03,15,03,07,369,85,05,00,23,06,38,01,10,06,09,00,00,00,20,"""28XX102532""",X,X,X,X,X,X,X,X,X,X,X,X,
1204,028,San Diego Wave FC,19042024,09,Away,L,00,01,00,10116,4800,5316,4-3-3,"""01, 14, 04, 02, 06, 05, 24, 21, 11, 13, 10""","""16062046, 12042058, 17242058, 15112058, 19142078""","""02""",08,54,03,21,03,15,02,462,84,00,05,06,23,38,07,23,09,06,02,00,00,23,X,"""01102532""",X,X,X,X,X,X,X,X,X,X,X,
0105,034,Angel City FC,21042024,07,Home,W,02,01,01,10118,4606,5512,4-3-3,"""13, 27, 06, 11, 03, 07, 28, 08, 21, 02, 10""","""17082064, 24102064, 05272076, 99282077, 12022087""","""11""",10,37,05,15,03,07,01,266,75,01,05,06,23,47,02,32,15,12,01,00,00,25,"""10XX102219, 1021205334""","""13207201""",X,X,X,X,X,X,X,X,X,X,X,
0705,034,North Carolina Courage,21042024,01,Away,L,01,02,00,10118,4606,5512,4-2-3-1,"""01, 13, 03, 07, 11, 06, 10, 05, 02, 14, 34"" ","""23052063, 17062076, 08342076, 94142076, 16112083""","""10""",02,63,15,05,07,03,04,513,86,05,01,23,06,50,00,05,12,15,01,00,00,27,"""14XX207201""","""0112219, 01205334""",X,X,X,X,X,X,X,X,X,X,X,
0908,050,Orlando Pride,05052024,11,Home,W,01,00,01,09922,4901,5021,4-4-2,"""01, 06, 03, 04, 25, 28, 02, 30, 20, 11, 22""","""09282046, 31252046, 29112059, 16202059, 12302087""","""03""",04,47,14,09,08,03,03,353,81,04,05,11,12,46,03,12,10,11,02,00,00,20,"""2206101645""",X,X,X,X,X,X,X,X,X,X,X,X,
1107,050,Racing Louisville FC,05052024,09,Away,L,00,01,00,09922,4901,5021,4-2-3-1,"""01, 16, 20, 03, 02, 14, 26, 29, 23, 13, 09""","""66292058, 17232085, 21132085""","""20""",06,53,09,14,03,08,00,418,83,05,04,12,11,59,04,25,11,10,01,00,00,27,X,"""01101645""",X,X,X,X,X,X,X,X,X,X,X,
0726,179,North Carolina Courage,02112024,14,Home,L,00,01,00,09808,4907,4901,4-3-3,"""01, 17, 07, 03, 13, 94, 16, 06, 77, 05, 14""","""10162046, 02942046, 34142066, 20052066, 11172076""","""03""",05,59,05,13,04,01,01,449,85,04,05,10,08,53,03,21,02,14,00,00,00,31,X,"""01103630""",X,X,X,X,X,X,X,X,X,X,X,
1426,179,Washington Spirit,02112024,07,Away,W,01,00,01,09808,4907,4901,4-2-3-1,"""01, 03, 05, 09, 14, 22, 17, 02, 16, 08, 33""","""04332085, 13162073, 06022073, 10082061""","""01""",02,41,13,05,01,04,05,287,78,05,04,08,10,47,01,18,14,02,00,00,00,31,"""3308103630""",X,X,X,X,X,X,X,X,X,X,X,X,
1315,103,Utah Royals FC,29062024,10,Home,D,00,00,00,09709,4802,4907,4-2-3-1,"""01, 16, 17, 08, 12, 06, 22, 04, 09, 15, 33""","""11042066, 05162067""","""04, 16, 08""",14,46,25,16,15,12,09,257,80,05,09,17,22,45,04,23,11,09,01,00,00,13,X,X,X,X,X,X,X,X,X,X,X,X,X,
1015,103,Portland Thorns FC,29062024,13,Away,D,00,00,00,09709,4802,4907,4-3-3,"""18, 11, 20, 04, 02, 08, 17, 21, 09, 19, 15""","""16152062, 23112062, 54172076, 12192076""","""04""",05,54,16,25,12,15,08,313,84,09,05,22,17,36,06,19,09,11,01,00,00,23,X,X,X,X,X,X,X,X,X,X,X,X,X,
1014,095,Portland Thorns FC,23062024,05,Home,L,01,04,01,10257,5110,5147,4-2-3-1,"""18, 23, 04, 20, 11, 25, 08, 09, 21, 16, 24""","""27212046, 15162046, 12242068, 17252068, 02112077""","""04""",05,52,14,19,09,11,03,400,84,04,04,09,24,45,03,29,12,13,01,00,00,16,"""0917207258""","""18103950, 18103736, 18102951, 18204647""",X,X,X,X,X,X,X,X,X,X,X,
0514,095,Kansas City Current,23062024,10,Away,W,04,01,03,10257,5110,5147,4-2-3-1,"""21, 04, 07, 12, 18, 10, 14, 99, 17, 06, 09""","""05092065, 22992079, 47062094, 11142094, 78172094""","""10""",01,48,19,14,11,09,03,333,79,04,04,24,09,49,05,12,13,12,00,00,00,23,"""10XX103950, 1207103736, 1006102951, 0607204647""","""21207258""",X,X,X,X,X,X,X,X,X,X,X,
