SeasonMatchNumber,Day,Date,City,LocalKickOffTime,MatchAttendance,Temperature,Weather,HomeTeamName,Home_TeamID,HomeTeam_MatchID,AwayTeamName,Away_TeamID,AwayTeam_MatchID,First_or_Second_Meeting,Stadium,Rater
001,Saturday,16/03/24,"Kansas City, Missouri",12:00,11500,61,Partly Cloudy,Kansas City Current,05,0501,Portland Thorns FC,10,1001,First,CPKC Stadium,Simon
002,Saturday,16/03/24,"Louisville, Kentucky",16:00,6123,63,Mostly Cloudy,Racing Louisville FC,11,1101,Orlando Pride,09,0901,First,Lynn Family Stadium,Paige
003,Saturday,16/03/24,"Cary, North Carolina",19:00,5878,70,Partly Cloudy,North Carolina Courage,07,0701,Houston Dash,04,0401,First,First Horizon Stadium at WakeMed Soccer Park,Paige
004,Saturday,16/03/24,"Sandy, Utah",18:30,20370,56,Fair,Utah Royals FC,13,1301,Chicago Red Stars,03,0301,First,America First Field,Paige
005,Sunday,17/03/24,"Seattle, Washington",15:00,8557,69,Fair,Seattle Reign FC,08,0801,Washington Spirit,14,1401,First,Lumen Field,Jonas
006,Sunday,17/03/24,"Los Angeles, California",16:30,22000,61,Partly Cloudy,Angel City FC,01,0101,Bay FC,02,0201,First,BMO Stadium,Jonas
007,Friday,22/03/24,"Orlando, Florida",20:00,6306,70,Light Rain,Orlando Pride,09,0902,Angel City FC,01,0102,First,Inter&Co Stadium,Simon
008,Friday,22/03/24,"Sandy, Utah",19:30,8161,61,Cloudy,Utah Royals FC,13,1302,North Carolina Courage,07,0702,First,America First Field,Paige
009,Saturday,23/03/24,"Bridgeview, Illinois",15:00,5494,38,Fair,Chicago Red Stars,03,0302,Seattle Reign FC,08,0802,First,SeatGeek Stadium,Paige
010,Saturday,23/03/24,"Washington, D.C.",18:30,11734,48,Mostly Cloudy / Windy,Washington Spirit,14,1402,Bay FC,02,0202,First,Audi Field,Simon
011,Sunday,24/03/24,"Houston, Texas",,,,,Houston Dash,04,0402,Racing Louisville FC,11,1102,First,Shell Energy Stadium,Jonas
012,Saturday,23/03/24,"San Diego, California",19:00,32066,59,Mostly Cloudy,San Diego Wave FC,12,1201,Kansas City Current,05,0502,First,Snapdragon Stadium,Simon
013,Sunday,24/03/24,"Portland, Oregon",16:00,19857,55,Light Rain,Portland Thorns FC,10,1002,NJ/NY Gotham FC,06,0601,First,Providence Park,Jonas
014,Friday,29/03/24,"Orlando, Florida",19:00,5586,74,Fair,Orlando Pride,09,0903,Chicago Red Stars,03,0303,First,Inter&Co Stadium,Tobias
015,Friday,29/03/24,"San Diego, California",18:00,16746,61,Partly Cloudy,San Diego Wave FC,12,1202,Seattle Reign FC,08,0803,First,Snapdragon Stadium,Simon
016,Saturday,30/03/24,"Kansas City, Missouri",14:30,11500,62,Mostly Cloudy,Kansas City Current,05,0503,Angel City FC,01,0103,First,CPKC Stadium,Paige
017,Saturday,30/03/24,"Cary, North Carolina",19:00,5281,74,Partly Cloudy,North Carolina Courage,07,0703,NJ/NY Gotham FC,06,0602,First,First Horizon Stadium at WakeMed Soccer Park,Tobias
018,Saturday,30/03/24,"Portland, Oregon",16:30,16688,66,Mostly Cloudy,Portland Thorns FC,10,1003,Racing Louisville FC,11,1103,First,Providence Park,Jonas
019,Saturday,30/03/24,"San Jose, California",19:00,18000,55,Cloudy,Bay FC,02,0203,Houston Dash,04,0403,First,PayPal Park,Jonas
020,Sunday,31/03/24,"Washington, D.C.",13:00,8182,63,Cloudy,Washington Spirit,14,1403,Utah Royals FC,13,1303,First,Audi Field,Paige
021,Saturday,12/04/24,"Houston, Texas",19:00,7767,76,Partly Cloudy,Houston Dash,04,0404,Washington Spirit,14,1404,First,Shell Energy Stadium,Simon
022,Friday,12/04/24,"Sandy, Utah",19:30,8578,76,Mostly Cloudy,Utah Royals FC,13,1304,Orlando Pride,09,0904,First,America First Field,Tobias
023,Saturday,13/04/24,"Cary, North Carolina",19:00,5711,72,Fair,North Carolina Courage,07,0704,Portland Thorns FC,10,1004,First,First Horizon Stadium at WakeMed Soccer Park,Paige
024,Saturday,13/04/24,"Louisville, Kentucky",19:30,6818,72,Fair,Racing Louisville FC,11,1104,San Diego Wave FC,12,1203,First,Lynn Family Stadium,Jonas
025,Saturday,13/04/24,"Bridgeview, Illinois",20:30,3168,67,Mostly Cloudy,Chicago Red Stars,03,0304,Angel City FC,01,0104,First,SeatGeek Stadium,Paige
026,Sunday,14/04/24,"Harrison, New Jersey",18:00,8573,73,Partly Cloudy,NJ/NY Gotham FC,06,0603,Kansas City Current,05,0504,First,Sports Illustrated Stadium,Paige
027,Sunday,14/04/24,"San Jose, California",17:00,16719,62,Partly Cloudy,Bay FC,02,0204,Seattle Reign FC,08,0804,First,PayPal Park,Tobias
028,Friday,19/04/24,"Orlando, Florida",20:00,7701,85,Fair,Orlando Pride,09,0905,San Diego Wave FC,12,1204,First,Inter&Co Stadium,Tobias
029,Saturday,20/04/24,"Washington, D.C.",13:00,15004,65,Mostly Cloudy,Washington Spirit,14,1405,NJ/NY Gotham FC,06,0604,First,Audi Field,Tobias
030,Saturday,20/04/24,"Louisville, Kentucky",19:00,11365,57,Cloudy,Racing Louisville FC,11,1105,Utah Royals FC,13,1305,First,Lynn Family Stadium,Simon
031,Saturday,20/04/24,"Kansas City, Missouri",18:30,11500,49,Cloudy,Kansas City Current,05,0505,Bay FC,02,0205,First,CPKC Stadium,Paige
032,Saturday,20/04/24,"Portland, Oregon",19:00,17580,57,Mostly Cloudy,Portland Thorns FC,10,1005,Houston Dash,04,0405,First,Providence Park,Simon
033,Sunday,21/04/24,"Seattle, Washington",15:00,9626,56,Mostly Cloudy,Seattle Reign FC,08,0805,Chicago Red Stars,03,0305,Second,Lumen Field,Tobias
034,Monday,22/04/24,"Los Angeles, California",16:30,22000,64,Mostly Cloudy,Angel City FC,01,0105,North Carolina Courage,07,0705,First,BMO Stadium,Tobias
035,Friday,26/04/24,"Washington, D.C.",19:30,11636,60,Mostly Cloudy,Washington Spirit,14,1406,Orlando Pride,09,0906,First,Audi Field,Simon
036,Friday,26/04/24,"Los Angeles, California",19:00,19178,61,Fair,Angel City FC,01,0106,Kansas City Current,05,0506,Second,BMO Stadium,Simon
037,Saturday,27/04/24,"Cary, North Carolina",19:00,8135,74,Mostly Cloudy,North Carolina Courage,07,0706,Seattle Reign FC,08,0806,First,First Horizon Stadium at WakeMed Soccer Park,Paige
038,Saturday,27/04/24,"Bridgeview, Illinois",18:30,4544,76,Mostly Cloudy,Chicago Red Stars,03,0306,Portland Thorns FC,10,1006,First,SeatGeek Stadium,Simon
039,Saturday,27/04/24,"Sandy, Utah",17:30,10349,51,Mostly Cloudy,Utah Royals FC,13,1306,Houston Dash,04,0406,First,America First Field,Tobias
