Team,Stadium,Capacity,CityState,TeamID
Angel City FC,BMO Stadium,22000,"Los Angeles, CA",01
Bay FC,PayPal Park,18000,"San Jose, CA",02
Chicago Red Stars,SeatGeek Stadium,20000,"Bridgeview, IL",03
Houston Dash,Shell Energy Stadium,22039,"Houston, TX",04
Kansas City Current,CPKC Stadium,11500,"Kansas City, MO",05
NJ/NY Gotham FC,Red Bull Arena,25000,"Harrison, NJ",06
North Carolina Courage,Sahlen's Stadium at WakeMed Soccer Park,10000,"Cary, NC",07
Seattle Reign FC,Lumen Field,10000,"Seattle, WA",08
Orlando Pride,Inter&Co Stadium,25500,"Orlando, FL",09
Portland Thorns FC FC,Providence Park,25218,"Portland, OR",10
Racing Louisville FC,Lynn Family Stadium,11700,"Louisville, KY",11
San Diego Wave FC,Snapdragon Stadium,35000,"San Diego, CA",12
Utah Royals,America First Field,20213,"Sandy, UT",13
Washington Spirit,Audi Field,20000,"Washington, DC",14
