TouchID,SeasonMatchNumber,Time,Team,PlayersInvolved,FieldLocation,TouchAction,Reciprocal,ToucherNumber,ToucherBodyPart,ToucheeNumber,ToucheeBodyPart,Situation,Duration,HapticRitual,Visibility,Notes
xyyzzaaa,xxx,hmmmss,teamID,"""pp, pp, pp...""",DH or AH,refer to list,Y or N or G,pp or G or ?? or SU,refertolist,pp or G or ?? or SU,refertolist,refertolist,B or seconds,refertolist,G or P,
10301001,025,100344,03,"""12, 23""",DH,Tap,N,12,H,23,BT,CK,B,BBP,G,
10301002,025,100414,03,"""34, 24""",AH,Squeeze,N,34,H,24,Legs,IT,2,Other,G,Places H on injured player comfortingly
10301003,025,101153,03,"""05, 24""",AH,Bump,N,05,Arm,24,FT,DA,B,CO,P,
10301004,025,101339,01,"""03, 08""",AH,Grab,Y,03,H,08,H,SA,B,HS,G,
10301005,025,101339,01,"""03, 08""",AH,Tap,N,08,H,03,BT,SA,B,BBP,G,
10301006,025,101339,01,"""08, 02""",AH,Tap,N,02,H,08,BT,CK,B,BBP,G,
10301007,025,101340,01,"""28, 03""",AH,Tap,Y,02,H,28,H,SA,B,HF1,G,
10301008,025,101341,01,"""28, 02""",AH,Tap,Y,02,H,28,H,CK,B,HF1,G,
10301009,025,101611,01,"""27, 11""",DH,Tap,Y,27,H,11,Arm,DA,B,Other,P,Arm tap for recognition
10301010,025,101925,03,"""03, 12""",DH,Push,N,03,H,12,BT,DA,B,TA,G,
10301011,025,102421,01,"""27, 10""",AH,Tap,Y,27,H,10,H,F,B,LF1,G,
10301012,025,102456,03,"""55, 15""",DH,Tap,N,55,H,15,BT,WALL,4,TA,G,
10301013,025,102601,03,"""55, 15""",DH,Grab,Y,15,H,55,H,WALL,B,TA,G,
10301014,025,102622,03,"""55, 15""",DH,Grab,Y,55,H,15,Arm,WALL,2,TA,G,
10301015,025,102625,03,"""55, 15""",DH,Push,N,15,H,55,Arm,WALL,4,TA,G,
10301016,025,102744,01,"""02, 27""",DH,Tap,N,02,H,27,BT,CK,B,BBP,G,
10301017,025,103112,01,"""27, 10""",AH,Tap,Y,27,H,10,H,PP,B,LF1,G,
10301018,025,103136,01,"""02, 21""",AH,Rub,N,02,H,21,BT,IT,3,Other,G,Rubbing back after injury
10301019,025,103502,03,"""12, 24""",AH,Tap,N,12,H,24,BT,FY,B,BBP,G,
10301020,025,103914,03,"""55, 15""",DH,Grab,N,55,H,15,Arm,WALL,B,TA,G,
10301021,025,103939,01,"""03, 07""",AH,Tap,Y,03,H,07,H,GF,B,HF2,G,
10301022,025,103940,01,"""07, 11""",AH,Tap,Y,07,H,11,H,GF,B,HF2,P,
10301023,025,103943,01,"""08, 06""",AH,Tap,Y,08,H,06,H,GF,B,LF1,G,
10301024,025,103944,01,"""06, 11""",AH,Tap,Y,06,H,11,H,GF,B,LF2,G,
10301025,025,104439,01,"""02, ??""",DH,Tap,Y,02,H,??,H,F,B,LF1,P,
10301026,025,104508,03,"""15, 24""",AH,Tap,N,15,H,24,Legs,IT,B,FBP,G,
10301027,025,104539,03,"""15, 24""",AH,Grab,Y,15,H,24,H,IT,1,HUP,G,
10301028,025,104545,01,"""06, 07""",DH,Push,N,06,H,07,BT,FY,B,TA,G,
10301029,025,104555,01,"""06, 02""",DH,Tap,N,06,H,02,BT,FY,B,TA,P,
