TouchID,SeasonMatchNumber,Time,Team,PlayersInvolved,FieldLocation,TouchAction,Reciprocal,ToucherNumber,ToucherBodyPart,ToucheeNumber,ToucheeBodyPart,Situation,Duration,HapticRitual,Visibility,Notes
xyyzzaaa,xxx,hmmmss,teamID,"""pp, pp, pp...""",DH or AH,refer to list,Y or N or G,pp or G or ?? or SU,refertolist,pp or G or ?? or SU,refertolist,refertolist,B or seconds,refertolist,G or P,
20401001,087,100032,04,"""11, 15""",DH,Tap,N,15,H,11,BT,IT,B or seconds,BBP,G,
20401002,087,100622,01,"""28, ??""",DH,Grab,N,28,H,??,BT,F,1,TA,G,
20401003,087,100629,01,"""13, 02""",DH,Push,N,13,H,02,BT,DA,B,HUP,P,
20401004,087,100754,04,"""15, 17""",AH,Tap,Y,15,H,17,H,SA,B,LF1,G,
20401005,087,100947,01,"""11, 28""",DH,Tap,N,11,H,28,Arm,HB,B,Other,G,
20401006,087,101016,01,"""11, ??""",DH,Tap,N,??,H,11,BT,HB,B,BBP,G,
20401007,087,101054,04,"""11, 17""",DH,Tap,Y,11,H,17,BT,HB,B,BBP,G,"Situation: Players are back on the field, Game is about to resume"
20401008,087,101149,01,"""27, 03""",DH,Tap,Y,03,H,27,H,GK,B,LF1,G,
20401009,087,101417,01,"""10, 20""",DH,Tap,N,10,H,20,BT,TI,1,BBP,G,
20401010,087,101759,01,"""03, 21""",AH,Tap,Y,03,H,21,H,F,B,LF1,G,
20401011,087,101942,01,"""02, ??""",AH,Tap,Y,02,H,??,BT,F,B,BBP,G,
20401012,087,101950,01,"""99, 03""",AH,Tap,N,99,H,03,BT,Other,B,BBP,G,Situation: Freekick is just carried out
20401013,087,102012,04,"""07, 01""",DH,Tap,N,07,H,01,Legs,IT,B,Other,G,Haptic Ritual: Comforting Touch on Legs
20401014,087,102227,01,"""02, 29""",DH,Tap,N,02,H,29,Head,HB,B,Other,G,Situation: Play is about to be resumed after HB. Haptic Ritual: Gentle touch to the forehead prolly to correct the hair
20401015,087,102229,04,"""03, 01""",DH,Tap,Y,03,H,01,H,HB,B,LF1,G,
20401016,087,102704,01,"""10, 21""",AH,Tap,Y,10,H,21,H,SA,B,LF1,G,
20401017,087,103817,04,"""08, 07""",AH,Bump,N,08,FT,07,FT,TI,B,CO,G,It looks like unintentional contact so I would say Collission however there is almost no force so the upper bodys just touch lightly
20401018,087,103957,01,"""28, 11""",DH,Tap,N,11,H,28,BT,HB,1,BBP,P,
20401019,087,104901,04,"""08, 11""",DH,Push,N,08,Arm,11,BT,F,B,TA,G,
20401020,087,104906,04,"""03, 30""",DH,Bump,N,03,FT,30,FT,DA,B,CO,G,
20401021,087,104918,01,"""03, 11""",AH,Tap,Y,03,H,11,H,SA,B,LF1,G,
20401022,087,105025,04,"""03, 30""",DH,Grab,Y,03,H,30,H,IT,1,HUP,G,
20401023,087,105026,04,"""03, 30""",DH,Tap,N,03,H,30,BT,IT,B,BBP,G,
20401024,087,105151,04,"""13, 07""",DH,Push,N,13,H,07,BT,CK,B,TA,G,
20401025,087,204659,04,"""04, 15""",AH,Tap,Y,04,H,15,H,CK,B,LF1,G,
20401026,087,204702,01,"""11, 99""",DH,Tap,Y,11,H,99,H,CK,B,LF1,P,
20401027,087,204743,01,"""27, 10""",DH,Tap,Y,10,H,27,H,DA,B,LF1,G,
20401028,087,204745,01,"""03, 27""",DH,Tap,Y,03,H,27,H,DA,B,LF1,G,
20401029,087,205111,01,"""28, 11""",AH,Tap,N,28,H,11,BT,IT,7,BBP,G,
20401030,087,205111,01,"""11, 99""",AH,Tap,N,99,H,11,BT,IT,1,BBP,G,
20401031,087,205118,01,"""11, 29""",AH,Tap,N,29,H,11,BT,IT,1,BBP,G,
20401032,087,205122,01,"""11, 27""",AH,Tap,N,27,H,11,BT,IT,B,BBP,G,
20401033,087,205231,01,"""02, 20""",AH,Tap,Y,02,H,20,H,PEN,B,LF1,G,
20401034,087,205232,01,"""02, 20""",AH,Tap,N,02,H,20,BT,PEN,B,BBP,G,
20401035,087,205333,01,"""02, 10""",AH,Tap,N,02,H,10,BT,PEN,B,BBP,G,
20401036,087,205411,01,"""28, 10""",AH,Tap,N,28,H,10,Gluteal Region,SA,B,BS,P,
20401037,087,205412,04,"""13, 01""",DH,Tap,Y,13,H,01,H,KS,B,LF1,G,
20401038,087,205412,04,"""04, 01""",DH,Tap,N,04,H,01,BT,KS,B,BBP,P,
20401039,087,205413,04,"""03, 01""",DH,Tap,Y,03,H,01,H,KS,B,LF1,G,
20401040,087,205413,01,"""10, 29""",AH,Hug,N,29,Arm,10,BT,SA,1,HUG,G,
20401041,087,205114,04,"""07, 01""",DH,Tap,Y,07,H,01,H,KS,B,LF1,G,
20401042,087,205114,04,"""01, 30""",DH,Push,N,30,H,01,FT,KS,B,Other,G,Positive push
20401043,087,205115,04,"""01, 07""",DH,Tap,N,07,H,01,Gluteal Region,KS,B,BS,G,
20401044,087,205959,04,"""11, 09""",DH,Tap,Y,09,H,11,H,SUB,B,LF2,G,
20401045,087,205959,04,"""11, 09""",DH,Tap,N,11,H,09,BT,SUB,B,BBP,G,
20401046,087,206000,04,"""11, 16""",DH,Tap,N,11,H,16,BT,SUB,B,BBP,G,
20401047,087,206146,01,"""02, 99""",AH,Tap,N,02,Arm,99,BT,Other,B,CO,G,
20401048,087,206146,01,"""02, 99""",AH,Push,N,99,H,02,FT,Other,B,Other,G,Players are Pushing eachother during a duel 
20401049,087,206228,01,"""06, 10""",DH,Tap,Y,06,H,10,H,SUB,B,LF1,G,
20401050,087,206229,01,"""16, 10""",DH,Tap,Y,16,H,10,H,SUB,B,LF1,G,
20401051,087,206229,01,"""16, 10""",DH,Bump,N,10,FT,16,FT,SUB,B,Other,G,Not really a collision but 10 is kind of bumping into 16 instead of going around
20401052,087,206229,01,"""16, 10""",DH,Tap,N,16,H,10,BT,SUB,B,BBP,G,
20401053,087,206238,01,"""11, 16""",DH,Tap,Y,11,H,06,H,SUB,B,LF1,G,
20401054,087,206244,01,"""11, 06""",DH,Grab,Y,11,H,06,H,SUB,1,HS,G,
20401055,087,206245,01,"""11, 06""",DH,Tap,N,11,H,06,BT,SUB,B,BBP,G,
20401056,087,206927,01,"""13, 99""",DH,Tap,N,13,H,99,FT,IT,2,FBP,G,
20401057,087,206929,01,"""99, ??""",DH,Tap,N,??,H,99,BT,IT,B,BBP,P,
20401058,087,207043,04,"""09, ??""",AH,Tap,N,09,H,??,FT,HB,B,FBP,G,
20401059,087,207046,04,"""04, ??""",AH,Grab,Y,??,H,04,H,HB,1,HS,G,
20401060,087,207214,01,"""24, 12""",DH,Tap,Y,24,H,12,H,SUB,B,LF1,G,
20401061,087,207650,01,"""13, 06""",DH,Tap,N,13,H,06,BT,HUD,2,BBP,G,
20401062,087,207650,01,"""24, 12""",DH,Tap,N,24,H,12,Gluteal Region,HUD,B,BS,G,
20401063,087,207839,04,"""31, 30""",DH,Tap,Y,31,H,30,H,SUB,B,LF1,G,
20401064,087,207839,04,"""31, 30""",DH,Tap,N,30,H,31,BT,SUB,B,BBP,G,
20401065,087,207848,04,"""31, 15""",DH,Tap,Y,31,H,15,H,SUB,B,HF2,G,
20401066,087,208244,04,"""13, 03""",DH,Tap,N,13,H,03,BT,IT,2,BBP,G,
20401067,087,208232,01,"""29, 24""",AH,Bump,N,29,FT,24,FT,Other,B,CO,G,
20401068,087,208612,01,"""27, 03""",DH,Tap,Y,27,H,03,H,DA,B,LF1,G,
20401069,087,208614,01,"""27, 06""",DH,Tap,N,06,H,27,BT,DA,B,BBP,G,
20401070,087,208702,04,"""13, 07""",DH,Bump,N,13,FT,07,FT,Other,B,CO,G,
20401071,087,208802,04,"""04, 01""",DH,Tap,N,04,H,01,BT,KS,B,BBP,G,
20401072,087,208803,04,"""30, 01""",DH,Tap,N,30,H,01,BT,KS,B,BBP,G,
20401073,087,208803,01,"""28, 24""",AH,Hug,N,28,Arm,24,BT,CK,1,SHUG,G,
20401074,087,208757,04,"""13, 31""",DH,Push,N,13,Arm,31,BT,CK,B,TA,G,
20401075,087,209320,04,"""10, 17""",DH,Tap,Y,10,H,17,H,SUB,B,HF2,G,
20401076,087,209909,04,"""09, 30""",AH,Bump,N,30,BT,09,FT,Other,B,CO,G,
20401077,087,210129,01,"""16, 03""",DH,Bump,N,03,FT,16,FT,CK,B,CO,G,
20401078,087,210130,01,"""06, 16""",DH,Tap,N,06,H,16,FT,CK,B,FBP,G,
20401079,087,210400,04,"""30, 04""",DH,Tap,N,30,H,04,BT,Other,1,BBP,G,
20401080,087,210400,04,"""30, 04""",DH,Grab,N,30,H,04,Arm,Other,1,HUP,G,
20401081,087,210346,01,"""27, 24""",AH,Tap,N,27,H,24,FT,Other,1,Other,G,
11205001,012,100115,12,"""07, 21""",AH,Push,N,21,H,07,BT,TI,1,TA,G,
11205002,012,100438,12,"""20, 02""",DH,Tap,N,02,H,20,BT,IT,1,BBP,G,
11205003,012,100737,05,"""06, 77""",AH,Tap,Y,77,H,06,H,OFF,B,LF1,G,
11205004,012,100826,12,"""21, 07""",AH,Tap,Y,21,H,07,H,F,B,LF1,G,
11205005,012,100838,12,"""10, 07""",AH,Tap,N,10,H,07,BT,F,B,BBP,G,
11205006,012,100856,05,"""14, 24""",DH,Bump,N,14,H,24,Gluteal Region,F,1,CO,G,
11205007,012,101458,12,"""77, 06""",AH,Tap,Y,06,H,77,H,TI,B,LF1,G,
11205008,012,101619,05,"""21, 05""",DH,Tap,N,21,H,05,Gluteal Region,DA,B,BS,G,
11205009,012,101659,12,"""06, 10""",AH,Hug,Y,06,Arm,10,BT,GF,1,SHUG,G,
11205010,012,101700,12,"""06, 10, 13, 05, 15, 07, 04, 21, 20""",AH,Hug,G,G,Arm,G,BT,GF,9,GHUG,G,
