TouchID,SeasonMatchNumber,Time,Team,PlayersInvolved,FieldLocation,TouchAction,Reciprocal,ToucherNumber,ToucherBodyPart,ToucheeNumber,ToucheeBodyPart,Situation,Duration,HapticRitual,Visibility,Notes
xyyzzaaa,xxx,hmmmss,teamID,"""pp, pp, pp...""",DH or AH,refer to list,Y or N or G,pp or G or ?? or SU,refertolist,pp or G or ?? or SU,refertolist,refertolist,B or seconds,refertolist,G or P,
20709001,086,100058,07,"""03, 11""",DH,Bump,N,03,FT,11,FT,DA,B,CO,G,
20709002,086,100402,09,"""28, 9""",AH,Bump,N,28,Arm,09,FT,F,B,CO,G,
20709003,086,100501,09,"""22, 03""",AH,Tap,Y,03,H,22,H,F,B,LF1,G,
20709004,086,100502,09,"""20, 03""",AH,Tap,Y,03,H,20,H,PP,B,LF1,G,
20709005,086,100503,09,"""20, 02""",AH,Tap,Y,20,H,02,H,PP,B,LF1,G,
20709006,086,100503,07,"""06, 02""",DH,Bump,Y,06,Arm,02,Arm,WALL,B,TA,P,
20709007,086,101455,09,"""20, 22""",AH,Tap,N,20,H,22,BT,F,B,BBP,G,
20709008,086,101504,07,"""06, 23""",DH,Bump,N,06,FT,23,FT,DA,B,CO,G,
20709009,086,101513,09,"""20, 25""",AH,Grab,Y,20,H,25,H,IT,5,HUP,G,
20709010,086,101518,09,"""25, 20""",AH,Tap,N,25,H,25,BT,IT,B,BBP,G,
20709011,086,101546,07,"""11, 01""",DH,Tap,N,11,H,01,BT,KS,B,BBP,G,
20709012,086,101722,09,"""06, 09""",AH,Tap,N,06,H,09,Arm,CK,1,TA,G,
20709013,086,101724,09,"""06, 09""",AH,Tap,N,09,H,06,Legs,CK,1,FBP,G,
20709014,086,101725,09,"""09, 22""",AH,Push,N,09,H,22,BT,CK,2,TA,G,
20709015,086,101725,09,"""06, 09""",AH,Push,N,06,H,09,BT,CK,3,TA,G,
20709016,086,101746,09,"""22, 10""",AH,Bump,N,22,FT,10,BT,CK,B,CO,G,
20709017,086,102252,09,"""03, 02""",DH,Tap,N,03,H,02,BT,OFF,B,BBP,G,
20709018,086,102602,09,"""03, 25""",DH,Tap,N,25,H,03,BT,DA,B,BBP,G,
20709019,086,102912,09,"""03, 28""",AH,Bump,N,03,Legs,28,Legs,DA,B,CO,G,
20709020,086,103110,09,"""10, 22""",AH,Grab,Y,10,H,22,H,SA,B,HS,G,
20709021,086,104353,07,"""06, 05""",AH,Tap,N,06,H,05,BT,TI,B,BBP,P,
20709022,086,204545,09,"""01, 14""",DH,Tap,N,01,H,14,BT,DA,1,BBP,G,
20709023,086,204831,07,"""07, 03""",DH,Tap,N,07,H,03,Arm,FY,2,BBP,G,
20709024,086,204831,07,"""03, 11""",DH,Tap,N,11,H,03,BT,FY,B,BBP,G,
20709025,086,204836,09,"""22, 25""",AH,Grab,Y,25,H,22,H,IT,B,HUP,G,
20709026,086,204900,07,"""03, 11, 05, 14""",DH,Grab,G,G,Arm,G,Arm,WALL,29,TA,G,
20709027,086,204942,07,"""07, 11""",DH,Tap,Y,07,H,11,H,DA,B,LF1,G,
